"study","operatn","site","year","X_WGS84","Y_WGS84","Gymnocephalus.schraetser","Alburnus.alburnus","Zingel.zingel","Gymnocephalus.baloni","Zingel.streber","Romanogobio.belingi","Lota.lota","Cottus.gobio","Salmo.trutta.fario","Abramis.ballerus","Eudontomyzon.mariae","Alburnoides.bipunctatus","Rutilus.pigus","Romanogobio.vladykovi","Sabanejewia.balcanica","Cobitis.elongatoides","Neogobius.cephalargoides","Benthophiloides.brauneri","Blicca.bjoerkna","Aspius.aspius","Barbus.barbus","Chondrostoma.nasus","Leuciscus.cephalus","Leuciscus.leuciscus","Perca.fluviatilis","Rutilus.rutilus","Sander.lucioperca","Sander.volgensis","Gobio.gobio","Leuciscus.idus","Pelecus.cultratus","Vimba.vimba","Abramis.brama","Esox.lucius","Gymnocephalus.cernuus","Anguilla.anguilla","Barbatula.barbatula","Carassius.carassius","Cyprinus.carpio","Gasterosteus.aculeatus","Silurus.glanis","Tinca.tinca","Rhodeus.amarus","Scardinius.erythrophthalmus","Thymallus.thymallus","Phoxinus.phoxinus","Abramis.sapa","Misgurnus.fossilis","Neogobius.gymnotrachelus","Neogobius.kessleri","Acipenser.ruthenus","Hucho.hucho","Syngnathus.abaster","Proterorhinus.marmoratus","Carassius.gibelio","Pseudorasbora.parva","Lepomis.gibbosus","Oncorhynchus.mykiss","Neogobius.melanostomus","Perccottus.glenii","Ameiurus.nebulosus","Hypophthalmichthys.molitrix","Neogobius.fluviatilis","Ameiurus.melas","Cobitis.taenia","Lampetra.fluviatilis","Salmo.trutta.trutta","Petromyzon.marinus","Sabanejewia.aurata","Pungitius.pungitius","Leucaspius.delineatus","Salmo.salar","Osmerus.eperlanus","Coregonus.lavaretus","Coregonus.maraena","Coregonus.peled","Salvelinus.fontinalis","Ctenopharyngodon.idella","Hypophthalmichthys.nobilis","Lampetra.planeri","Coregonus.oxyrinchus","Platichthys.flesus","Umbra.pygmaea","Dicentrarchus.labrax","Chelon.labrosus","Cottus.poecilopus"
"Wolter_Danube",1,"ATDONA163",1999,16.33806,48.31395,4,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,496,7,11,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",2,"ATDONA163",1999,16.33806,48.31395,17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",3,"ATDONA163",1999,16.33806,48.31395,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4,"ATDONA163",2000,16.33806,48.31395,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,77,198,0,30,0,0,1,0,1,8,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",5,"ATDONA163",2000,16.33806,48.31395,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",6,"ATDONA165",1999,16.31625,48.32594,0,15,1,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,7,15,83,0,0,0,5,0,0,3,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",7,"ATDONA165",1999,16.31625,48.32594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,17,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",8,"ATDONA165",1999,16.31625,48.32594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",9,"ATDONA168",1999,16.29625,48.34088,0,12,1,0,0,1,12,10,3,0,0,0,0,0,0,0,0,0,0,0,0,5,47,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",10,"ATDONA168",1999,16.29625,48.34088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,13,0,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4460,"DE1",2007,13.01482,48.76867,0,133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,13,8,0,1,0,0,1,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4474,"DE2",2007,13.0172,48.76587,0,231,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,3,0,0,0,1,0,0,0,0,0,17,0,0,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4475,"DE3",2007,13.036489,48.749204,0,364,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,15,0,11,0,7,9,0,0,0,4,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4476,"DE4",2007,13.038063,48.745932,0,340,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,18,0,1,7,0,0,0,2,0,2,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4477,"DE5",2007,13.01351,48.76853,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4478,"DE6",2007,13.01051,48.77011,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4479,"DE7",2007,13.012442,48.770738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4480,"DE8",2007,13.015937,48.76816,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4481,"DE9",2007,13.034999,48.751184,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4461,"DE10",2007,13.036978,48.74867,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4471,"DE11",2007,13.01817,48.76552,0,300,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,0,5,1,5,2,9,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube",4473,"DE12",2007,13.017559,48.766747,0,300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,2,3,1,0,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
