Site_code_LR,Occ_laufnr,Yearocc
DELR0399N,3608,2000
DELR0399N,3609,2001
DELR0399N,3610,2002
DELR0399N,3611,2003
DELRT018,3849,1999
DELRT018,3846,1997
DELRT018,3847,1997
DELRT018,3848,1998
DELRT018,3835,1997
DELRT018,3840,1998
DELRT018,3837,1998
DELRT018,3832,1997
DELRT018,3834,1997
DELRT018,3839,1998
DELRT018,3833,1997
DELRT018,3843,1999
DELRT018,3844,1999
DELRT018,3836,1997
DELRT018,3845,1999
DELRT018,3842,1999
DELRT018,3838,1998
DELRT018,3841,1998
HR582,4501,2007
HR581,4500,2007
HR575,4494,2007
HR583,4502,2007
HR574,4493,2007
HR585,4504,2007
HR573,4492,2007
HR577,4496,2007
HR580,4499,2007
HR579,4498,2007
HR576,4495,2007
HR578,4497,2007
HR584,4503,2007
DELR0379N,3544,2005
DELR0379N,3540,2000
DELR0379N,3541,2002
DELR0379N,3543,2004
DELR0379N,3542,2003
DELR0742N,538,2000
DELRT013H,3329,2009
DELRT013H,3328,2009
DELRT013H,3327,2008
DELRT013F,3325,2009
DELRT013F,3324,2008
DELRT013K,3334,2008
DELRT013K,3335,2009
DELR1505N,1123,2006
DELR30,3305,2007
DELR1504N,1122,2006
DELR0665N,3604,2002
DELR0665N,3605,2002
DELR0397N,3597,2001
DELR0397N,3598,2001
DELR0397N,3601,2003
DELR0397N,3599,2002
DELR0397N,3600,2002
DELR0397N,3602,2004
DELR0397N,3603,2004
DELR0397N,3596,2000
DELR0397N,3595,2000
DELR0002N,12,2000
DELR0297N,3887,1999
DELR8889A,3756,2009
DELR8889A,3755,2008
DELR8888A,3753,2008
DELR8888A,3754,2009
DELR1506N,1124,2006
DELR1506N,3316,2009
DELR1509N,1127,2006
DELR0317N,3890,1999
HR553,4491,2007
HR552,4490,2007
HR550,4488,2007
HR546,4484,2007
HR544,4482,2007
HR548,4486,2007
HR547,4485,2007
HR545,4483,2007
HR551,4489,2007
HR549,4487,2007
RS141,4736,2007
RS140,4735,2007
RS142,4737,2007
RS508,4760,2007
RS509,4761,2007
RS510,4762,2007
RS506,4758,2007
RS507,4759,2007
RS511,4763,2007
RS138,4733,2007
RS137,4732,2007
RS139,4734,2007
RS136,4731,2007
DELRT010,3556,2001
DELRT010,3558,2002
DELRT010,3562,2003
DELRT010,3555,2001
DELRT010,3560,2002
DELRT010,3557,2002
DELRT010,3561,2003
DELRT010,3559,2002
DELRT010,3564,2007
DELRT010,3563,2006
DELR0645N,3554,2007
DELR0645N,3553,2006
NLr263,1862,2005
NLr263,1874,1999
NLr263,1866,1998
NLr263,1873,1999
NLr263,1867,2006
NLr263,1869,2003
NLr263,1865,2004
NLr263,1863,2005
NLr263,1870,2002
NLr263,1864,1998
NLr263,1871,2001
NLr263,1872,2000
NLr263,1868,1997
NLr263,2493,1997
NLr263,2492,1998
NLr263,2496,2001
NLr263,2490,2005
NLr263,2491,2004
NLr263,2498,1999
NLr263,2489,2006
NLr263,2495,2002
NLr263,2494,2003
NLr263,2497,2000
NLr259,1859,2002
NLr259,1855,2004
NLr259,1856,2006
NLr259,2479,2006
NLr259,2482,1998
NLr259,2480,2005
NLr259,1860,2001
NLr259,1857,1997
NLr259,2488,1999
NLr259,2481,2004
NLr259,2485,2002
NLr259,2487,2000
NLr259,2483,1997
NLr259,1861,1999
NLr259,2486,2001
NLr259,1853,2005
NLr259,2484,2003
NLr259,1858,2003
NLr259,1854,1998
NLr284,1886,2005
NLr284,1891,2006
NLr284,1890,2003
NLr284,1887,2004
NLr284,1892,2002
NLr284,1893,2001
NLr284,1889,1997
NLr284,1894,2000
NLr284,2514,2006
NLr284,1888,1998
NLr284,1895,1999
NLr284,2517,1997
NLr284,2520,2001
NLr284,2518,1998
NLr284,2519,2003
NLr284,2516,2005
NLr284,2521,2002
NLr284,2522,2000
NLr284,2523,1999
NLr284,2515,2004
NLr275,1883,2000
NLr275,1877,1998
NLr275,1880,2006
NLr275,1884,2000
NLr275,1875,2005
NLr275,1876,2004
NLr275,1879,2003
NLr275,1882,2001
NLr275,1881,2002
NLr275,1885,1999
NLr275,2509,2001
NLr275,2510,2002
NLr275,2499,2005
NLr275,1878,1997
NLr275,2506,1997
NLr275,2503,1997
NLr275,2508,2003
NLr275,2507,2002
NLr275,2512,2001
NLr275,2501,2005
NLr275,2500,2006
NLr275,2504,1998
NLr275,2511,2000
NLr275,2505,2003
NLr275,2502,2004
NLr275,2513,1999
DELR1474N,1096,2002
DELR0387N,3895,2003
DELR0387N,3894,2002
DELR0387N,3893,2001
PL_WIDO06,2683,1998
PL_WIDO06,2685,2000
PL_WIDO06,2684,1998
PL_WIDO06,2686,2000
PL_WIDO06,2687,2000
PL_WIDO07,2688,1998
PL_WIDO07,2689,1998
PL_WIDO05,2681,2000
PL_WIDO05,2680,2000
PL_WIDO05,2679,1998
PL_WIDO05,2678,1998
PL_WIDO05,2682,2000
PL_WIDO2_SO,2699,1998
PL_WIDO2_SO,2700,1998
PL_WIDO2_SO,2701,2000
PL_WIDO04,2674,1998
PL_WIDO04,2677,2000
PL_WIDO04,2676,2000
PL_WIDO04,2675,1998
PL_NARPN05,2625,2005
PL_NARPN04,2619,2005
PL_NARPN03_SO,2608,2001
NLr248,1797,2004
NLr248,1801,2003
NLr248,1810,2003
NLr248,1816,1999
NLr248,1814,2001
NLr248,1811,2001
NLr248,1794,2005
NLr248,1796,1998
NLr248,1802,2001
NLr248,1795,2004
NLr248,2441,1998
NLr248,1798,1997
NLr248,1806,2004
NLr248,2430,1998
NLr248,1805,2006
NLr248,1804,2005
NLr248,1808,2003
NLr248,1799,2003
NLr248,1812,2002
NLr248,1800,2002
NLr248,1815,1999
NLr248,2439,1998
NLr248,1813,2000
NLr248,2424,2006
NLr248,1809,1997
NLr248,2425,2006
NLr248,2428,2004
NLr248,2427,1998
NLr248,1807,1998
NLr248,1803,2000
NLr248,2440,1997
NLr248,2432,2001
NLr248,2436,2006
NLr248,2429,1997
NLr248,2433,2002
NLr248,2445,2000
NLr248,2442,2003
NLr248,2437,2005
NLr248,2431,2003
NLr248,2426,2005
NLr248,2446,1999
NLr248,2434,2000
NLr248,2435,1999
NLr248,2438,2004
NLr248,2444,2001
NLr248,2443,2002
NLr253,1818,2006
NLr253,1829,2001
NLr253,1848,2000
NLr253,1817,1999
NLr253,1843,2002
NLr253,1845,1997
NLr253,1834,2006
NLr253,1820,2004
NLr253,1836,2004
NLr253,1825,2003
NLr253,1851,1999
NLr253,1821,2005
NLr253,1828,2003
NLr253,1830,2000
NLr253,1819,2006
NLr253,1832,1999
NLr253,1824,1997
NLr253,1850,2000
NLr253,1838,1998
NLr253,1831,2000
NLr253,1849,2001
NLr253,1846,2001
NLr253,1826,1997
NLr253,1841,2003
NLr253,1833,1999
NLr253,1822,1998
NLr253,1847,2002
NLr253,1842,1997
NLr253,1835,2006
NLr253,1839,2004
NLr253,1852,1999
NLr253,1823,2004
NLr253,1844,2003
NLr253,1840,1998
NLr253,1837,2005
NLr253,1827,2002
NLr253,2472,1997
NLr253,2451,1997
NLr253,2463,2006
NLr253,2447,2006
NLr253,2462,2005
NLr253,2475,2002
NLr253,2455,2001
NLr253,2466,1998
NLr253,2459,1999
NLr253,2468,1997
NLr253,2469,1998
NLr253,2467,2004
NLr253,2464,2004
NLr253,2453,1997
NLr253,2448,2006
NLr253,2461,2006
NLr253,2470,2002
NLr253,2465,2005
NLr253,2476,2000
NLr253,2477,2000
NLr253,2473,2002
NLr253,2454,2003
NLr253,2452,1998
NLr253,2457,2001
NLr253,2460,1999
NLr253,2449,2005
NLr253,2474,2001
NLr253,2471,2003
NLr253,2450,2004
NLr253,2456,2002
NLr253,2478,1999
NLr253,2458,2000
NLr200,1714,1998
NLr200,1711,1999
NLr200,1719,1999
NLr200,1716,1997
NLr200,1715,2003
NLr200,1723,2004
NLr200,1718,2000
NLr200,1713,2004
NLr200,2353,1998
NLr200,1712,2005
NLr200,1726,2000
NLr200,1724,1997
NLr200,1720,2006
NLr200,1721,2005
NLr200,1725,2003
NLr200,1717,2002
NLr200,2352,1997
NLr200,1722,1998
NLr200,2341,2004
NLr200,2355,1998
NLr200,2356,1997
NLr200,2343,2004
NLr200,2342,1998
NLr200,2346,2002
NLr200,2344,1997
NLr200,2339,2006
NLr200,2340,2005
NLr200,2350,2006
NLr200,2348,2000
NLr200,2351,2005
NLr200,2354,2004
NLr200,2347,2001
NLr200,2357,2003
NLr200,2358,2002
NLr200,2345,2003
NLr200,2359,2000
NLr200,2349,1999
NLr200,2338,1999
NLr207,1747,2006
NLr207,1744,2001
NLr207,1729,2001
NLr207,1742,2002
NLr207,1748,2006
NLr207,1753,2003
NLr207,1736,2005
NLr207,1733,2005
NLr207,1750,2005
NLr207,1752,2004
NLr207,1738,1998
NLr207,1728,2000
NLr207,1732,1999
NLr207,1731,2000
NLr207,1730,2002
NLr207,1743,2000
NLr207,1737,2004
NLr207,1745,2000
NLr207,1734,2006
NLr207,1746,1999
NLr207,1741,2001
NLr207,1751,1998
NLr207,1740,1997
NLr207,1727,1997
NLr207,1739,2003
NLr207,1749,2004
NLr207,1735,2004
NLr207,2366,2006
NLr207,2367,2006
NLr207,2360,2003
NLr207,2371,1997
NLr207,2370,1998
NLr207,2361,1997
NLr207,2368,2005
NLr207,2377,2006
NLr207,2380,1998
NLr207,2364,2000
NLr207,2365,1999
NLr207,2374,2001
NLr207,2379,2005
NLr207,2376,1999
NLr207,2362,2001
NLr207,2375,2000
NLr207,2373,2002
NLr207,2363,2002
NLr207,2372,2003
NLr207,2369,2004
NLr207,2378,2004
NLr177,1698,2006
NLr177,1702,2004
NLr177,1675,1997
NLr177,1687,2004
NLr177,1695,2001
NLr177,1680,2002
NLr177,1676,2003
NLr177,1685,2005
NLr177,1683,2005
NLr177,1684,2006
NLr177,1681,2000
NLr177,1677,1997
NLr177,1688,1998
NLr177,1703,1998
NLr177,1692,2001
NLr177,1699,2006
NLr177,1679,2001
NLr177,1704,2003
NLr177,1700,2005
NLr177,1693,2002
NLr177,1697,1999
NLr177,1691,2002
NLr177,1690,1997
NLr177,1694,2000
NLr177,2319,2006
NLr177,2306,2006
NLr177,1689,2003
NLr177,1678,2000
NLr177,1701,1998
NLr177,1682,1999
NLr177,1696,1999
NLr177,1686,1998
NLr177,2309,2006
NLr177,2313,2002
NLr177,2307,2006
NLr177,2323,2005
NLr177,2320,2006
NLr177,2321,2005
NLr177,2312,1997
NLr177,2304,2000
NLr177,2302,2001
NLr177,2316,2001
NLr177,2301,1997
NLr177,2311,1998
NLr177,2305,1999
NLr177,2315,2002
NLr177,2324,1998
NLr177,2303,2002
NLr177,2322,2004
NLr177,2318,1999
NLr177,2308,2005
NLr177,2310,2004
NLr177,2314,2003
NLr177,2317,2000
NLr177,2300,2003
NLr174,1661,2006
NLr174,1655,1997
NLr174,1666,2001
NLr174,1674,2003
NLr174,1660,2005
NLr174,1672,2005
NLr174,1664,1997
NLr174,1669,1999
NLr174,1662,2004
NLr174,1671,2004
NLr174,1665,2003
NLr174,1668,2000
NLr174,1657,2000
NLr174,1658,2001
NLr174,1659,1999
NLr174,1670,2006
NLr174,1663,1998
NLr174,1673,1998
NLr174,1667,2002
NLr174,1656,2002
NLr174,2290,1997
NLr174,2280,1997
NLr174,2293,2001
NLr174,2296,2006
NLr174,2289,1998
NLr174,2299,1998
NLr174,2287,2005
NLr174,2283,2002
NLr174,2285,1999
NLr174,2298,2005
NLr174,2284,2000
NLr174,2288,2004
NLr174,2291,2002
NLr174,2281,2003
NLr174,2286,2006
NLr174,2292,2003
NLr174,2294,2000
NLr174,2297,2004
NLr174,2282,2001
NLr174,2295,1999
NLr151,1643,2006
NLr151,2271,1997
NLr151,1652,2006
NLr151,1644,2005
NLr151,2261,1998
NLr151,2276,1999
NLr151,2264,1997
NLr151,2272,1998
NLr151,2275,2000
NLr151,1642,1999
NLr151,1653,2005
NLr151,1645,2004
NLr151,2268,2006
NLr151,2266,2000
NLr151,2277,2006
NLr151,2278,2004
NLr151,1651,1999
NLr151,1638,1998
NLr151,1646,1998
NLr151,1648,1997
NLr151,1650,2000
NLr151,1640,1997
NLr151,1639,2002
NLr151,1654,2004
NLr151,1647,2003
