"species","y_1996","y_1997","y_1998","y_1999","y_2000","y_2001","y_2002","y_2003","y_2004","y_2005","y_2006","y_2007","y_2008","y_2009","y_2010"
"Alburnus.alburnus",7,77,119,115,119,76,122,86,78,43,73,483,19,8,6
"Blicca.bjoerkna",4,116,138,159,172,106,136,119,93,59,74,150,17,8,6
"Aspius.aspius",4,72,82,87,120,57,68,73,83,49,58,302,12,7,3
"Leuciscus.cephalus",6,57,71,80,82,59,90,85,70,34,36,153,9,7,6
"Leuciscus.leuciscus",5,30,53,52,77,35,59,57,40,18,23,62,5,7,3
"Perca.fluviatilis",8,119,159,166,180,118,170,153,153,112,122,204,18,10,6
"Rutilus.rutilus",9,171,209,212,219,148,199,184,174,135,150,247,20,10,6
"Sander.lucioperca",8,93,119,126,137,102,126,124,109,92,92,153,11,2,1
"Gobio.gobio",3,69,94,103,96,75,103,87,75,61,65,38,14,5,4
"Leuciscus.idus",3,111,134,144,158,96,149,139,150,93,104,227,17,9,6
"Abramis.brama",8,149,170,185,193,141,174,153,135,102,129,172,19,6,6
"Esox.lucius",0,69,79,95,97,66,96,64,53,31,54,154,17,9,6
"Gymnocephalus.cernuus",4,95,101,141,146,109,138,123,128,108,101,59,17,8,4
"Anguilla.anguilla",9,109,131,115,121,87,133,114,119,75,77,57,15,3,0
"Total Observations",9,186,216,242,254,171,216,199,189,151,168,528,20,10,6
