"study","operatn","site","year","X_WGS84","Y_WGS84","Alburnus.alburnus","Blicca.bjoerkna","Aspius.aspius","Leuciscus.cephalus","Leuciscus.leuciscus","Perca.fluviatilis","Rutilus.rutilus","Sander.lucioperca","Gobio.gobio","Leuciscus.idus","Abramis.brama","Esox.lucius","Gymnocephalus.cernuus","Anguilla.anguilla"
"Wolter_Danube","1","ATDONA163",1999,16.33806,48.31395,182,2,4,7,11,3,3,2,0,0,0,0,0,0
"Wolter_Danube","2","ATDONA163",1999,16.33806,48.31395,0,0,0,4,2,2,0,0,0,0,0,0,0,0
"Wolter_Danube","3","ATDONA163",1999,16.33806,48.31395,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Wolter_Danube","4","ATDONA163",2000,16.33806,48.31395,214,0,19,0,30,0,0,1,1,8,0,0,0,0
"Wolter_Danube","5","ATDONA163",2000,16.33806,48.31395,24,0,0,0,1,0,0,1,0,0,0,0,0,0
"Wolter_Danube","6","ATDONA165",1999,16.31625,48.32594,15,15,0,4,7,15,83,0,0,5,3,24,3,0
"Wolter_Danube","7","ATDONA165",1999,16.31625,48.32594,0,10,1,1,0,0,17,0,0,0,9,0,0,0
"Wolter_Danube","8","ATDONA165",1999,16.31625,48.32594,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Wolter_Danube","9","ATDONA168",1999,16.29625,48.34088,12,0,0,47,3,5,0,0,3,0,0,0,0,0
"Wolter_Danube","10","ATDONA168",1999,16.29625,48.34088,0,4,0,0,0,1,2,0,0,0,3,0,0,0
"Wolter_Danube","4460","DE1",2007,13.01482,48.76867,133,0,0,15,13,8,0,1,0,1,0,0,0,15
"Wolter_Danube","4474","DE2",2007,13.0172,48.76587,231,0,0,1,0,8,3,0,0,1,0,0,0,17
"Wolter_Danube","4475","DE3",2007,13.036489,48.749204,364,1,0,11,0,7,9,0,0,4,0,0,0,19
"Wolter_Danube","4476","DE4",2007,13.038063,48.745932,340,0,0,18,0,1,7,0,0,2,0,0,0,13
"Wolter_Danube","4477","DE5",2007,13.01351,48.76853,150,0,0,2,0,0,0,0,0,1,0,0,0,0
"Wolter_Danube","4478","DE6",2007,13.01051,48.77011,130,0,3,0,0,1,0,0,0,0,9,1,0,0
